time,Btc-open,Btc-high,Btc-low,Btc-close,volume,Eth-open,Eth-high,Eth-low,Eth-close,Eth-volume
20/01/2022 21:00,42726.12,42738.67,41300,41318.75,2136.849293,3195.8,3198.25,3081.22,3081.99,20612.08922
20/01/2022 22:00,41326,41603.08,40789.5,41169.82,2661.545693,3081.96,3107.98,3020.99,3060.44,25515.62091
20/01/2022 23:00,41169.85,41182.76,40555,40670.97,1737.054615,3060.84,3061.97,2986,3000.94,24574.02717
21/01/2022 0:00,40671.77,41127.79,40348.11,40906.47,1866.187352,3000.99,3034.7,2961.37,3017.04,27980.84568
21/01/2022 1:00,40901.7,40946.13,39732.31,39769.09,2453.749273,3016.45,3019.4,2893.77,2900,32832.02031
21/01/2022 2:00,39769.1,40285.74,39233.69,39838.35,2943.742215,2899.99,2954.99,2880,2906.86,33353.65822
21/01/2022 3:00,39838.35,39946.15,38242.24,38464.82,4101.515387,2906.84,2917.24,2806.6,2836.88,40844.10936
21/01/2022 4:00,38462.48,39082.92,38435.3,38858.71,1844.885894,2836.76,2881.25,2834.34,2863.59,18864.02254
21/01/2022 5:00,38858.72,39012.6,38716.23,38926.58,1251.571953,2863.57,2877.87,2849,2859.95,13360.43095
21/01/2022 6:00,38926.57,38952.61,38553.73,38690.23,1089.759521,2859.95,2867.56,2835.34,2846.46,12906.714
21/01/2022 7:00,38690.23,39188.64,38557.85,39145.25,766.4155048,2846.24,2896.59,2837,2882.5,10308.48577
21/01/2022 8:00,39146.51,39300,39013,39171.69,657.5937704,2882.5,2900,2877.27,2893.64,6379.930596
21/01/2022 9:00,39173.1,39200.84,38940,38970.28,582.8318267,2893.55,2895.3,2869.03,2870.19,5698.077356
21/01/2022 10:00,38970.28,39096.22,38869.15,38985.14,668.6892042,2870.18,2887.95,2863.01,2873.65,5201.313822
21/01/2022 11:00,38985.13,38989.3,38680,38902.03,815.1830466,2873.72,2879,2833.74,2847.59,8775.421148
21/01/2022 12:00,38905.61,38940.94,37704.42,38184.23,2964.181453,2848.46,2855.17,2731.1,2776.55,31816.08649
21/01/2022 13:00,38184.22,38744.82,38146.47,38491.15,1879.598341,2776.88,2814.1,2757.04,2797.36,26325.61701
21/01/2022 14:00,38486.17,38890,38248.42,38421.05,2369.370201,2796.92,2834.49,2765.03,2783.57,26794.51818
21/01/2022 15:00,38421.06,39060.27,38097.78,38864.82,2298.926781,2784.14,2854.49,2765.13,2831.2,28183.67444
21/01/2022 16:00,38864.82,39061.6,38503.86,38724.91,2372.802144,2831.2,2861.82,2791.74,2810.8,23227.76052
21/01/2022 17:00,38715.89,38757.33,38264.51,38377.08,1936.487462,2809.78,2815.57,2766,2780.37,16231.86053
21/01/2022 18:00,38377.07,38634.61,37855.35,38265.49,1789.128562,2779.98,2807.48,2754.39,2766.29,16882.84916
21/01/2022 19:00,38267.47,38513.07,37951,37984.92,1099.407909,2766.31,2790.52,2738.88,2741.91,13865.11997
21/01/2022 20:00,37988.04,38470.75,37581.42,38339.56,2769.607976,2741.91,2764.32,2700,2742.43,38326.77597
